Fecha,Tabla,Completitud,Precision,Consistencia,Duplicados
2024-01-01,RRHH,99.73,99.46,97.41,2
2024-01-31,Inventario,97.9,97.71,89.54,0
2024-03-01,Finanzas,99.98,99.99,97.76,3
2024-03-31,RRHH,97.3,99.55,93.13,1
2024-04-30,Clientes,95.38,98.85,94.34,0
2024-05-30,RRHH,92.83,98.23,95.87,4
2024-06-29,Clientes,95.66,95.56,95.28,4
2024-07-29,Finanzas,96.37,98.44,98.92,3
2024-08-28,Clientes,96.11,97.65,93.84,5
2024-09-27,Clientes,91.88,95.28,86.74,0
2024-10-27,Clientes,95.55,96.53,96.77,1
2024-11-26,Finanzas,91.5,99.33,86.35,2
2024-01-01,Finanzas,94.35,98.07,89.29,1
2024-01-31,Clientes,98.56,96.32,99.0,0
2024-03-01,RRHH,96.11,96.41,92.12,3
2024-03-31,Clientes,91.85,98.84,85.51,5
2024-04-30,RRHH,99.53,97.07,99.11,4
2024-05-30,Ventas,99.9,98.95,88.44,0
2024-06-29,Inventario,90.67,97.23,97.21,1
2024-07-29,Inventario,91.55,99.46,95.57,3
2024-08-28,Clientes,94.78,98.66,98.95,4
2024-09-27,Clientes,94.72,96.31,96.9,2
2024-10-27,Ventas,97.98,98.45,90.71,0
2024-11-26,RRHH,94.57,99.33,86.98,3
2024-01-01,Clientes,98.86,98.51,91.54,4
2024-01-31,Inventario,90.98,96.21,93.62,1
2024-03-01,RRHH,93.58,98.22,93.92,4
2024-03-31,RRHH,94.0,99.86,97.56,0
2024-04-30,RRHH,99.45,95.71,86.91,2
2024-05-30,RRHH,96.16,98.19,88.02,2
2024-06-29,RRHH,95.95,96.32,97.45,0
2024-07-29,Inventario,97.83,95.77,95.71,2
2024-08-28,Clientes,95.62,98.67,86.46,2
2024-09-27,RRHH,92.65,95.47,87.08,0
2024-10-27,RRHH,97.05,96.9,92.18,5
2024-11-26,Ventas,97.75,97.8,90.87,1
2024-01-01,Finanzas,90.28,99.02,91.16,0
2024-01-31,Ventas,96.73,99.51,86.26,4
2024-03-01,Clientes,93.48,95.21,86.1,0
2024-03-31,Finanzas,93.07,96.54,93.06,4
2024-04-30,Inventario,98.5,99.28,87.57,5
2024-05-30,Inventario,98.77,96.25,94.05,1
